question,percent_correct
Which statement BEST supports Obama's goal for the minimum wage?,0.6551724137931034
"Read the sentence from the passage.                                                                                                                                                                                                                                                           <blockquote>Air Force One will be back in the skies on Friday, as Obama returns to his old neighborhood in Chicago to talk more about his proposals to help middle and working class families.</blockquote>                                                                                                                                                                                                                                                                                           How does Obama plan to help the middle- and working-class families? ",0.5689655172413793
What can we conclude Obama hoped to gain by inviting Gabby Giffords to his State of the Union address?,0.6551724137931034
"Read this sentence from the passage.                                                                                                                                                                                                                                                     <blockquote>""Every dollar we invest in high-quality early education can save more than seven dollars later on – boosting graduation rates, reducing teen pregnancy, reducing violent crime.""</blockquote>                                                                                                                                                                                                                                                                                                            What can we conclude is the BEST reason Obama makes this claim?   ",0.5862068965517241
Which of the following claims made by President Obama in his speech BEST supports the argument that raising the minimum wage will benefit businesses and boost the economy?,0.41379310344827586
Read the following sentence from the passage.                                                                                                                                                                                                                                                  <blockquote>The president urged Congress in his State of the Union speech to make high-quality preschool available to all children. </blockquote>                                                                                                                                                                                                                               What can we infer president Obama means by making high-quality preschool available to all children?,0.8135593220338984
"Read the following sentence from the passage.                                                                                                                                                                                                                                                           <blockquote>Obama made an emotional plea to Congress, urging action on gun control.</blockquote>                                                                                                                                                                               According to the passage, what does President Obama mean by gun control?                                                                                                                                                                                 ",0.8220338983050848
What can we infer is the BEST reason why American companies are choosing to have their products made overseas rather than in the United States?,0.6779661016949152
How will bringing companies back to the United States restore the middle class?,0.6016949152542372
Which of the following BEST describes why raising the minimum wage may harm small businesses?,0.5932203389830508
How is President Obama trying to get people to support his ideas?,0.5217391304347826
"According to the article, where did President Obama's fireside hangout take place?",0.7101449275362319
What is the State of Union address?,0.7246376811594203
What sentence BEST supports why Obama should provide free preschool for children?,0.6811594202898551
Which sentence BEST supports the argument that Congress should raise the minimum wage?,0.5217391304347826
Which of these is not one of President Obama's main goals?,0.5289256198347108
How does Obama plan to stop American factories from shutting down?,0.5867768595041323
Why does President Obama want to raise the minimum wage?,0.4793388429752066
What is President Obama trying to do for children?,0.6942148760330579
Why did people wear green ribbons during the president's speech?,0.7024793388429752
